trans_date,trans_month,trans_year,category,upi_number,transaction_amount,state,zip code,fraud
7,9,2022,12,2466774878,14112.68,22,21874,1
20,6,2021,18,8814420348,1332.46,14,96402,0
29,11,2020,20,6103493350,13970.22,4,24079,1
15,11,2021,18,3849618964,12418.05,40,59850,1
11,1,2023,9,6809887591,2035.96,38,82779,0
8,1,2023,2,5175655574,8518.27,15,19018,0
29,2,2024,13,9779777121,13011.56,18,59500,0
21,9,2024,18,2803551099,8619.96,35,22100,0
7,3,2023,4,1520701009,13617.28,49,67021,0
26,1,2023,4,6425873345,14150.46,36,29800,0
19,5,2023,19,5608863265,6393.53,17,73400,1
23,7,2021,16,9506818589,5721.97,49,39437,0
11,6,2023,20,1416940443,14051.19,27,86537,1
11,12,2022,9,1803342829,10159.59,43,56675,0
24,1,2020,4,1544640609,1828.74,43,29942,1
21,5,2023,3,7350484181,730.15,38,30862,1
4,5,2020,5,1264214327,8512.97,27,21669,1
8,6,2021,3,2121579338,13959.55,22,63772,0
24,3,2020,6,8309223648,12679.31,43,25916,0
3,5,2021,6,9780899356,10170.13,38,20878,0
22,7,2022,17,9229458357,2172.83,48,12985,0
21,5,2021,2,6542549394,3888.05,35,83648,1
2,5,2021,0,7619162097,13145.12,27,51235,0
24,5,2024,23,8791111824,2823.83,16,28931,1
12,10,2023,24,4380625173,4248.75,46,10336,1
30,10,2023,3,6711283857,2031.05,43,52933,0
6,3,2022,5,6431544672,10174.01,27,94899,0
2,1,2022,8,3574826989,14165.34,43,55536,0
28,5,2023,21,3219674042,4107.62,22,79504,1
21,9,2024,13,3310964053,7183.56,24,61148,0
1,1,2023,11,1390531079,9551.66,43,26279,1
12,3,2024,24,4858668871,14992.05,18,78665,0
26,4,2022,19,9293817131,1661.64,22,81386,1
22,1,2020,23,5002262132,7528.7,27,96124,0
29,1,2022,24,2880948026,5838.29,43,87485,0
12,8,2022,3,3173155376,13000.72,22,84055,1
25,2,2021,20,1570338981,7191.92,38,87273,0
17,12,2021,23,7912088429,1753.57,48,76670,0
27,8,2021,11,3539798675,9552.92,35,86474,0
27,7,2021,9,7357027019,11584.63,24,64028,0
31,10,2024,21,7112176146,142.93,22,81128,0
10,10,2023,6,2487155478,12898.45,18,28108,0
28,2,2020,2,1957147206,2871.74,27,62495,0
28,6,2022,22,6171925318,8325.83,22,92806,1
16,6,2024,13,2159852414,6295.38,16,86533,1
